Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,8,0.71,219.72,69715.0,3285.0,,
10,8,0.71,219.72,69641.61,73.39,6915.76,226628.57
20,8,0.71,219.69,69568.22,73.39,6914.86,226639.04
30,8,0.71,219.65,69494.82,73.4,6913.97,226649.53
40,8,0.71,219.61,69421.42,73.4,6913.07,226660.02
50,8,0.71,219.57,69348.02,73.4,6912.17,226670.52
60,8,0.71,219.54,69274.61,73.41,6911.27,226681.03
70,8,0.71,219.5,69201.2,73.41,6910.37,226691.54
80,8,0.71,219.46,69127.78,73.41,6909.48,226702.06
90,8,0.71,219.42,69054.37,73.42,6908.58,226712.59
100,8,0.71,219.39,68980.95,73.42,6907.68,226723.12
110,8,0.71,219.35,68907.52,73.42,6906.79,226733.67
120,8,0.71,219.31,68834.09,73.43,6905.89,226744.22
130,8,0.71,219.27,68760.66,73.43,6904.99,226754.77
140,8,0.71,219.24,68687.23,73.43,6904.1,226765.34
150,8,0.71,219.2,68613.79,73.44,6903.2,226775.91
160,8,0.71,219.16,68540.35,73.44,6902.31,226786.48
170,8,0.71,219.12,68466.91,73.44,6901.41,226797.07
180,8,0.71,219.09,68393.46,73.45,6900.52,226807.66
190,8,0.71,219.05,68320.01,73.45,6899.62,226818.26
200,8,0.71,219.01,68246.55,73.45,6898.73,226828.87
210,8,0.71,218.97,68173.09,73.46,6897.83,226839.48
220,8,0.71,218.94,68099.63,73.46,6896.94,226850.11
230,8,0.71,218.9,68026.17,73.47,6896.05,226860.73
240,8,0.71,218.86,67952.7,73.47,6895.15,226871.37
250,8,0.71,218.82,67879.22,73.47,6894.26,226882.01
260,8,0.71,218.79,67805.75,73.48,6893.37,226892.67
270,8,0.71,218.75,67732.27,73.48,6892.48,226903.32
280,8,0.71,218.71,67658.79,73.48,6891.58,226913.99
290,8,0.71,218.67,67585.3,73.49,6890.69,226924.66
300,8,0.71,218.64,67511.81,73.49,6889.8,226935.34
310,8,0.71,218.6,67438.32,73.49,6888.91,226946.03
320,8,0.71,218.56,67364.82,73.5,6888.02,226956.72
330,8,0.71,218.52,67291.32,73.5,6887.13,226967.43
340,8,0.71,218.49,67217.82,73.5,6886.24,226978.14
350,8,0.71,218.45,67144.31,73.51,6885.35,226988.85
360,8,0.71,218.41,67070.8,73.51,6884.46,226999.58
370,8,0.71,218.37,66997.29,73.51,6883.57,227010.31
380,8,0.71,218.33,66923.77,73.52,6882.68,227021.05
390,8,0.71,218.3,66850.25,73.52,6881.79,227031.79
400,8,0.71,218.26,66776.73,73.52,6880.9,227042.55
410,8,0.71,218.22,66703.2,73.53,6880.01,227053.31
420,8,0.71,218.18,66629.67,73.53,6879.12,227064.08
430,8,0.71,218.15,66556.13,73.53,6878.24,227074.85
440,8,0.71,218.11,66482.6,73.54,6877.35,227085.64
450,8,0.71,218.07,66409.05,73.54,6876.46,227096.43
460,8,0.71,218.03,66335.51,73.55,6875.57,227107.23
470,8,0.71,218.0,66261.96,73.55,6874.69,227118.03
480,8,0.71,217.96,66188.41,73.55,6873.8,227128.85
490,8,0.71,217.92,66114.85,73.56,6872.91,227139.67
500,8,0.71,217.88,66041.29,73.56,6872.03,227150.5
510,8,0.71,217.84,65967.73,73.56,6871.14,227161.33
520,8,0.71,217.81,65894.16,73.57,6870.25,227172.18
530,8,0.71,217.77,65820.6,73.57,6869.37,227183.03
540,8,0.71,217.73,65747.02,73.57,6868.48,227193.88
550,8,0.71,217.69,65673.45,73.58,6867.6,227204.75
560,8,0.71,217.65,65599.87,73.58,6866.71,227215.62
570,8,0.71,217.62,65526.28,73.58,6865.83,227226.5
580,8,0.71,217.58,65452.69,73.59,6864.95,227237.39
590,8,0.71,217.54,65379.1,73.59,6864.06,227248.29
