Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,11.0,0.89,263.95,69715.0,3285.0,,
10,11.0,0.89,263.98,69645.31,69.69,5426.07,215189.83
20,11.0,0.89,263.98,69575.63,69.69,5426.07,215189.83
30,11.01,0.89,263.98,69505.94,69.69,5426.07,215189.83
40,11.01,0.89,263.98,69436.26,69.69,5426.07,215189.83
50,11.01,0.89,263.98,69366.57,69.69,5426.07,215189.83
60,11.01,0.89,263.98,69296.89,69.69,5426.07,215189.83
70,11.01,0.89,263.98,69227.2,69.69,5426.07,215189.83
80,11.02,0.89,263.98,69157.51,69.69,5426.07,215189.83
90,11.02,0.89,263.98,69087.83,69.69,5426.07,215189.83
100,11.02,0.89,263.98,69018.14,69.69,5426.07,215189.83
110,11.02,0.89,263.98,68948.46,69.69,5426.07,215189.83
120,11.02,0.89,263.98,68878.77,69.69,5426.07,215189.83
130,11.03,0.89,263.98,68809.08,69.69,5426.07,215189.83
140,11.03,0.89,263.98,68739.4,69.69,5426.07,215189.83
150,11.03,0.89,263.98,68669.71,69.69,5426.07,215189.83
160,11.03,0.89,263.98,68600.03,69.69,5426.07,215189.83
170,11.03,0.89,263.98,68530.34,69.69,5426.07,215189.83
180,11.04,0.89,263.98,68460.66,69.69,5426.07,215189.83
190,11.04,0.89,263.98,68390.97,69.69,5426.07,215189.83
200,11.04,0.89,263.98,68321.28,69.69,5426.07,215189.83
210,11.04,0.89,263.98,68251.6,69.69,5426.07,215189.83
220,11.04,0.89,263.98,68181.91,69.69,5426.07,215189.83
230,11.05,0.89,263.98,68112.23,69.69,5426.07,215189.83
240,11.05,0.89,263.98,68042.54,69.69,5426.07,215189.83
250,11.05,0.89,263.98,67972.85,69.69,5426.07,215189.83
260,11.05,0.89,263.98,67903.17,69.69,5426.07,215189.83
270,11.05,0.89,263.98,67833.48,69.69,5426.07,215189.83
280,11.06,0.89,263.98,67763.8,69.69,5426.07,215189.83
290,11.06,0.89,263.98,67694.11,69.69,5426.07,215189.83
300,11.06,0.89,263.98,67624.43,69.69,5426.07,215189.83
310,11.06,0.89,263.98,67554.74,69.69,5426.07,215189.83
320,11.06,0.89,263.98,67485.05,69.69,5426.07,215189.83
330,11.07,0.89,263.98,67415.37,69.69,5426.07,215189.83
340,11.07,0.89,263.98,67345.68,69.69,5426.07,215189.83
350,11.07,0.89,263.98,67276.0,69.69,5426.07,215189.83
360,11.07,0.89,263.98,67206.31,69.69,5426.07,215189.83
370,11.08,0.89,263.98,67136.62,69.69,5426.07,215189.83
380,11.08,0.89,263.98,67066.94,69.69,5426.07,215189.83
390,11.08,0.89,263.98,66997.25,69.69,5426.07,215189.83
400,11.08,0.89,263.98,66927.57,69.69,5426.07,215189.83
410,11.08,0.89,263.98,66857.88,69.69,5426.07,215189.83
420,11.09,0.89,263.98,66788.2,69.69,5426.07,215189.83
430,11.09,0.89,263.98,66718.51,69.69,5426.07,215189.83
440,11.09,0.89,263.98,66648.82,69.69,5426.07,215189.83
450,11.09,0.89,263.98,66579.14,69.69,5426.07,215189.83
460,11.09,0.89,263.98,66509.45,69.69,5426.07,215189.83
470,11.1,0.89,263.98,66439.77,69.69,5426.07,215189.83
480,11.1,0.89,263.98,66370.08,69.69,5426.07,215189.83
490,11.1,0.89,263.98,66300.39,69.69,5426.07,215189.83
500,11.1,0.89,263.98,66230.71,69.69,5426.07,215189.83
510,11.1,0.89,263.98,66161.02,69.69,5426.07,215189.83
520,11.11,0.89,263.98,66091.34,69.69,5426.07,215189.83
530,11.11,0.89,263.98,66021.65,69.69,5426.07,215189.83
540,11.11,0.89,263.98,65951.97,69.69,5426.07,215189.83
550,11.11,0.89,263.98,65882.28,69.69,5426.07,215189.83
560,11.11,0.89,263.98,65812.59,69.69,5426.07,215189.83
570,11.12,0.89,263.98,65742.91,69.69,5426.07,215189.83
580,11.12,0.89,263.98,65673.22,69.69,5426.07,215189.83
590,11.12,0.89,263.98,65603.54,69.69,5426.07,215189.83
600,11.12,0.89,263.98,65533.85,69.69,5426.07,215189.83
610,11.13,0.89,263.98,65464.16,69.69,5426.07,215189.83
620,11.13,0.89,263.98,65394.48,69.69,5426.07,215189.83
630,11.13,0.89,263.98,65324.79,69.69,5426.07,215189.83
640,11.13,0.89,263.98,65255.11,69.69,5426.07,215189.83
650,11.13,0.89,263.98,65185.42,69.69,5426.07,215189.83
