Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,9.0,0.77,233.17,69715.0,3285.0,,
10,9.0,0.77,233.19,69642.98,72.02,6296.28,222390.17
20,9.0,0.77,233.18,69570.96,72.02,6294.06,222390.17
30,9.01,0.77,233.17,69498.95,72.02,6291.85,222390.17
40,9.01,0.77,233.16,69426.93,72.02,6289.64,222390.17
50,9.01,0.77,233.16,69354.91,72.02,6287.43,222390.17
60,9.01,0.77,233.15,69282.89,72.02,6285.21,222390.17
70,9.01,0.77,233.14,69210.88,72.02,6283.0,222390.17
80,9.02,0.77,233.13,69138.86,72.02,6280.79,222390.17
90,9.02,0.77,233.13,69066.84,72.02,6278.58,222390.17
100,9.02,0.77,233.12,68994.82,72.02,6276.37,222390.17
110,9.02,0.77,233.11,68922.81,72.02,6274.16,222390.17
120,9.03,0.77,233.1,68850.79,72.02,6271.95,222390.17
130,9.03,0.77,233.1,68778.77,72.02,6269.73,222390.17
140,9.03,0.77,233.09,68706.75,72.02,6267.52,222390.17
150,9.03,0.77,233.08,68634.74,72.02,6265.31,222390.17
160,9.03,0.77,233.07,68562.72,72.02,6263.1,222390.17
170,9.04,0.77,233.07,68490.7,72.02,6260.89,222390.17
180,9.04,0.77,233.06,68418.68,72.02,6258.68,222390.17
190,9.04,0.77,233.05,68346.67,72.02,6256.47,222390.17
200,9.04,0.77,233.04,68274.65,72.02,6254.26,222390.17
210,9.05,0.77,233.04,68202.63,72.02,6252.05,222390.17
220,9.05,0.77,233.03,68130.61,72.02,6249.85,222390.17
230,9.05,0.77,233.02,68058.6,72.02,6247.64,222390.17
240,9.05,0.77,233.02,67986.58,72.02,6245.43,222390.17
250,9.06,0.77,233.01,67914.56,72.02,6243.22,222390.17
260,9.06,0.77,233.0,67842.54,72.02,6241.01,222390.17
270,9.06,0.77,232.99,67770.53,72.02,6238.8,222390.17
280,9.06,0.77,232.99,67698.51,72.02,6236.59,222390.17
290,9.06,0.77,232.98,67626.49,72.02,6234.39,222390.17
300,9.07,0.77,232.97,67554.47,72.02,6232.18,222390.17
310,9.07,0.77,232.96,67482.46,72.02,6229.97,222390.17
320,9.07,0.77,232.96,67410.44,72.02,6227.76,222390.17
330,9.07,0.77,232.95,67338.42,72.02,6225.56,222390.17
340,9.08,0.77,232.94,67266.4,72.02,6223.35,222390.17
350,9.08,0.77,232.93,67194.39,72.02,6221.14,222390.17
360,9.08,0.77,232.93,67122.37,72.02,6218.94,222390.17
370,9.08,0.77,232.92,67050.35,72.02,6216.73,222390.17
380,9.08,0.77,232.91,66978.33,72.02,6214.52,222390.17
390,9.09,0.77,232.9,66906.32,72.02,6212.32,222390.17
400,9.09,0.77,232.9,66834.3,72.02,6210.11,222390.17
410,9.09,0.77,232.89,66762.28,72.02,6207.9,222390.17
420,9.09,0.77,232.88,66690.26,72.02,6205.7,222390.17
430,9.1,0.77,232.87,66618.25,72.02,6203.49,222390.17
440,9.1,0.77,232.87,66546.23,72.02,6201.29,222390.17
450,9.1,0.77,232.86,66474.21,72.02,6199.08,222390.17
460,9.1,0.77,232.85,66402.19,72.02,6196.88,222390.17
470,9.11,0.77,232.84,66330.18,72.02,6194.67,222390.17
480,9.11,0.77,232.84,66258.16,72.02,6192.47,222390.17
490,9.11,0.77,232.83,66186.14,72.02,6190.26,222390.17
