Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
960,8.23,0.71,219.05,62669.55,73.39,6676.95,226628.57
970,8.23,0.71,219.05,62596.16,73.39,6674.46,226628.57
980,8.23,0.71,219.04,62522.77,73.39,6671.98,226628.57
990,8.23,0.71,219.03,62449.38,73.39,6669.49,226628.57
1000,8.24,0.71,219.02,62375.99,73.39,6667.0,226628.57
1010,8.24,0.71,219.02,62302.6,73.39,6664.51,226628.57
1020,8.24,0.71,219.01,62229.21,73.39,6662.02,226628.57
1030,8.24,0.71,219.0,62155.82,73.39,6659.54,226628.57
1040,8.25,0.71,219.0,62082.43,73.39,6657.05,226628.57
1050,8.25,0.71,218.99,62009.04,73.39,6654.56,226628.57
1060,8.25,0.71,218.98,61935.65,73.39,6652.07,226628.57
1070,8.25,0.71,218.97,61862.26,73.39,6649.59,226628.57
1080,8.26,0.71,218.97,61788.87,73.39,6647.1,226628.57
1090,8.26,0.71,218.96,61715.48,73.39,6644.61,226628.57
1100,8.26,0.71,218.95,61642.09,73.39,6642.13,226628.57
1110,8.26,0.71,218.94,61568.7,73.39,6639.64,226628.57
1120,8.27,0.71,218.94,61495.31,73.39,6637.16,226628.57
1130,8.27,0.71,218.93,61421.92,73.39,6634.67,226628.57
1140,8.27,0.71,218.92,61348.53,73.39,6632.19,226628.57
1150,8.27,0.71,218.91,61275.14,73.39,6629.7,226628.57
1160,8.28,0.71,218.91,61201.75,73.39,6627.22,226628.57
1170,8.28,0.71,218.9,61128.36,73.39,6624.73,226628.57
1180,8.28,0.71,218.89,61054.97,73.39,6622.25,226628.57
1190,8.28,0.71,218.88,60981.58,73.39,6619.76,226628.57
1200,8.29,0.71,218.88,60908.19,73.39,6617.28,226628.57
1210,8.29,0.71,218.87,60834.8,73.39,6614.8,226628.57
1220,8.29,0.71,218.86,60761.41,73.39,6612.31,226628.57
1230,8.29,0.71,218.86,60688.02,73.39,6609.83,226628.57
1240,8.3,0.71,218.85,60614.63,73.39,6607.35,226628.57
1250,8.3,0.71,218.84,60541.24,73.39,6604.86,226628.57
1260,8.3,0.71,218.83,60467.85,73.39,6602.38,226628.57
1270,8.3,0.71,218.83,60394.46,73.39,6599.9,226628.57
1280,8.31,0.71,218.82,60321.07,73.39,6597.42,226628.57
1290,8.31,0.71,218.81,60247.68,73.39,6594.93,226628.57
1300,8.31,0.71,218.8,60174.29,73.39,6592.45,226628.57
1310,8.31,0.71,218.8,60100.9,73.39,6589.97,226628.57
1320,8.32,0.71,218.79,60027.51,73.39,6587.49,226628.57
1330,8.32,0.71,218.78,59954.12,73.39,6585.01,226628.57
1340,8.32,0.71,218.77,59880.73,73.39,6582.53,226628.57
1350,8.32,0.71,218.77,59807.34,73.39,6580.05,226628.57
1360,8.32,0.71,218.76,59733.95,73.39,6577.57,226628.57
1370,8.33,0.71,218.75,59660.56,73.39,6575.09,226628.57
1380,8.33,0.71,218.74,59587.17,73.39,6572.61,226628.57
1390,8.33,0.71,218.74,59513.78,73.39,6570.13,226628.57
1400,8.33,0.71,218.73,59440.39,73.39,6567.65,226628.57
1410,8.34,0.71,218.72,59367.0,73.39,6565.17,226628.57
1420,8.34,0.71,218.71,59293.61,73.39,6562.69,226628.57
1430,8.34,0.71,218.71,59220.22,73.39,6560.21,226628.57
1440,8.34,0.71,218.7,59146.83,73.39,6557.73,226628.57
1450,8.35,0.71,218.69,59073.44,73.39,6555.25,226628.57
1460,8.35,0.71,218.68,59000.05,73.39,6552.77,226628.57
1470,8.35,0.71,218.68,58926.66,73.39,6550.3,226628.57
1480,8.35,0.71,218.67,58853.27,73.39,6547.82,226628.57
1490,8.36,0.71,218.66,58779.88,73.39,6545.34,226628.57
1500,8.36,0.71,218.65,58706.49,73.39,6542.86,226628.57
1510,8.36,0.71,218.65,58633.1,73.39,6540.39,226628.57
1520,8.36,0.71,218.64,58559.71,73.39,6537.91,226628.57
1530,8.37,0.71,218.63,58486.32,73.39,6535.43,226628.57
