Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,10,0.83,247.86,69715.0,3285.0,,
10,10,0.83,247.86,69644.22,70.78,5804.2,218579.33
20,10,0.83,247.82,69573.43,70.79,5803.15,218587.05
30,10,0.83,247.78,69502.64,70.79,5802.1,218594.77
40,10,0.83,247.74,69431.85,70.79,5801.05,218602.5
50,10,0.83,247.7,69361.06,70.79,5800.0,218610.23
60,10,0.83,247.66,69290.26,70.8,5798.95,218617.97
70,10,0.83,247.62,69219.46,70.8,5797.9,218625.71
80,10,0.83,247.57,69148.66,70.8,5796.85,218633.46
90,10,0.83,247.53,69077.86,70.8,5795.8,218641.21
100,10,0.83,247.49,69007.05,70.81,5794.75,218648.97
110,10,0.83,247.45,68936.24,70.81,5793.7,218656.73
120,10,0.83,247.41,68865.43,70.81,5792.66,218664.5
130,10,0.83,247.37,68794.62,70.81,5791.61,218672.27
140,10,0.83,247.33,68723.8,70.82,5790.56,218680.05
150,10,0.83,247.29,68652.98,70.82,5789.52,218687.84
160,10,0.83,247.25,68582.16,70.82,5788.47,218695.63
170,10,0.83,247.21,68511.34,70.82,5787.42,218703.42
180,10,0.83,247.17,68440.51,70.83,5786.38,218711.22
190,10,0.83,247.13,68369.69,70.83,5785.33,218719.03
200,10,0.83,247.09,68298.85,70.83,5784.29,218726.84
210,10,0.83,247.04,68228.02,70.83,5783.24,218734.66
220,10,0.82,247.0,68157.18,70.84,5782.2,218742.48
230,10,0.82,246.96,68086.35,70.84,5781.15,218750.31
240,10,0.82,246.92,68015.5,70.84,5780.11,218758.14
250,10,0.82,246.88,67944.66,70.84,5779.06,218765.98
260,10,0.82,246.84,67873.81,70.85,5778.02,218773.82
270,10,0.82,246.8,67802.96,70.85,5776.98,218781.67
280,10,0.82,246.76,67732.11,70.85,5775.93,218789.52
290,10,0.82,246.72,67661.26,70.85,5774.89,218797.38
300,10,0.82,246.68,67590.4,70.86,5773.85,218805.25
310,10,0.82,246.64,67519.54,70.86,5772.81,218813.12
320,10,0.82,246.59,67448.68,70.86,5771.76,218820.99
330,10,0.82,246.55,67377.82,70.86,5770.72,218828.87
340,10,0.82,246.51,67306.95,70.87,5769.68,218836.76
350,10,0.82,246.47,67236.08,70.87,5768.64,218844.65
360,10,0.82,246.43,67165.21,70.87,5767.6,218852.55
370,10,0.82,246.39,67094.33,70.87,5766.56,218860.45
380,10,0.82,246.35,67023.46,70.88,5765.52,218868.36
390,10,0.82,246.31,66952.58,70.88,5764.48,218876.27
400,10,0.82,246.27,66881.7,70.88,5763.44,218884.19
410,10,0.82,246.23,66810.81,70.88,5762.4,218892.11
420,10,0.82,246.19,66739.92,70.89,5761.36,218900.04
430,10,0.82,246.14,66669.03,70.89,5760.32,218907.98
440,10,0.82,246.1,66598.14,70.89,5759.28,218915.92
