Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,7.0,0.66,207.39,69715.0,3285.0,,
10,7.0,0.66,207.4,69640.1,74.9,7672.04,231299.86
20,7.0,0.66,207.4,69565.19,74.9,7669.15,231299.86
30,7.01,0.66,207.39,69490.29,74.9,7666.27,231299.86
40,7.01,0.66,207.38,69415.39,74.9,7663.38,231299.86
50,7.01,0.66,207.38,69340.49,74.9,7660.5,231299.86
60,7.01,0.66,207.37,69265.58,74.9,7657.62,231299.86
70,7.02,0.66,207.36,69190.68,74.9,7654.73,231299.86
80,7.02,0.66,207.35,69115.78,74.9,7651.85,231299.86
90,7.02,0.66,207.35,69040.87,74.9,7648.97,231299.86
100,7.02,0.66,207.34,68965.97,74.9,7646.09,231299.86
110,7.03,0.66,207.33,68891.07,74.9,7643.2,231299.86
120,7.03,0.66,207.33,68816.17,74.9,7640.32,231299.86
130,7.03,0.66,207.32,68741.26,74.9,7637.44,231299.86
140,7.03,0.66,207.31,68666.36,74.9,7634.56,231299.86
150,7.04,0.66,207.31,68591.46,74.9,7631.68,231299.86
160,7.04,0.66,207.3,68516.56,74.9,7628.8,231299.86
170,7.04,0.66,207.29,68441.65,74.9,7625.92,231299.86
180,7.04,0.66,207.29,68366.75,74.9,7623.04,231299.86
190,7.05,0.66,207.28,68291.85,74.9,7620.16,231299.86
200,7.05,0.66,207.27,68216.94,74.9,7617.28,231299.86
210,7.05,0.66,207.26,68142.04,74.9,7614.4,231299.86
220,7.05,0.66,207.26,68067.14,74.9,7611.52,231299.86
230,7.06,0.66,207.25,67992.24,74.9,7608.64,231299.86
240,7.06,0.66,207.24,67917.33,74.9,7605.76,231299.86
250,7.06,0.66,207.24,67842.43,74.9,7602.88,231299.86
260,7.06,0.66,207.23,67767.53,74.9,7600.01,231299.86
270,7.07,0.66,207.22,67692.62,74.9,7597.13,231299.86
280,7.07,0.66,207.22,67617.72,74.9,7594.25,231299.86
290,7.07,0.66,207.21,67542.82,74.9,7591.37,231299.86
300,7.07,0.66,207.2,67467.92,74.9,7588.5,231299.86
310,7.08,0.66,207.2,67393.01,74.9,7585.62,231299.86
320,7.08,0.66,207.19,67318.11,74.9,7582.74,231299.86
330,7.08,0.66,207.18,67243.21,74.9,7579.87,231299.86
340,7.08,0.66,207.18,67168.3,74.9,7576.99,231299.86
350,7.09,0.66,207.17,67093.4,74.9,7574.12,231299.86
360,7.09,0.66,207.16,67018.5,74.9,7571.24,231299.86
370,7.09,0.66,207.15,66943.6,74.9,7568.37,231299.86
380,7.09,0.66,207.15,66868.69,74.9,7565.49,231299.86
390,7.1,0.66,207.14,66793.79,74.9,7562.62,231299.86
400,7.1,0.66,207.13,66718.89,74.9,7559.74,231299.86
410,7.1,0.66,207.13,66643.99,74.9,7556.87,231299.86
420,7.1,0.66,207.12,66569.08,74.9,7553.99,231299.86
430,7.11,0.66,207.11,66494.18,74.9,7551.12,231299.86
440,7.11,0.66,207.11,66419.28,74.9,7548.25,231299.86
450,7.11,0.66,207.1,66344.37,74.9,7545.38,231299.86
