Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,11,0.89,263.95,69715.0,3285.0,,
10,11,0.89,263.95,69645.31,69.69,5426.07,215189.83
20,11,0.89,263.91,69575.63,69.69,5424.93,215196.35
30,11,0.89,263.87,69505.94,69.69,5423.78,215202.87
40,11,0.89,263.82,69436.24,69.69,5422.64,215209.4
50,11,0.89,263.78,69366.55,69.69,5421.49,215215.93
60,11,0.89,263.74,69296.85,69.7,5420.35,215222.47
70,11,0.89,263.7,69227.15,69.7,5419.2,215229.01
80,11,0.89,263.65,69157.45,69.7,5418.06,215235.56
90,11,0.89,263.61,69087.75,69.7,5416.92,215242.11
100,11,0.89,263.57,69018.05,69.7,5415.77,215248.66
110,11,0.89,263.53,68948.34,69.71,5414.63,215255.22
120,11,0.89,263.48,68878.63,69.71,5413.49,215261.78
130,11,0.89,263.44,68808.92,69.71,5412.35,215268.35
140,11,0.89,263.4,68739.21,69.71,5411.2,215274.92
150,11,0.89,263.35,68669.49,69.72,5410.06,215281.5
160,11,0.89,263.31,68599.77,69.72,5408.92,215288.08
170,11,0.89,263.27,68530.05,69.72,5407.78,215294.67
180,11,0.89,263.23,68460.33,69.72,5406.64,215301.26
190,11,0.89,263.18,68390.61,69.72,5405.5,215307.85
200,11,0.89,263.14,68320.88,69.73,5404.36,215314.45
210,11,0.89,263.1,68251.15,69.73,5403.22,215321.06
220,11,0.89,263.05,68181.42,69.73,5402.08,215327.67
230,11,0.89,263.01,68111.69,69.73,5400.94,215334.28
240,11,0.89,262.97,68041.95,69.73,5399.8,215340.9
250,11,0.89,262.93,67972.22,69.74,5398.66,215347.52
260,11,0.89,262.88,67902.48,69.74,5397.52,215354.15
270,11,0.89,262.84,67832.74,69.74,5396.38,215360.78
280,11,0.89,262.8,67762.99,69.74,5395.25,215367.41
290,11,0.89,262.76,67693.25,69.75,5394.11,215374.05
300,11,0.89,262.71,67623.5,69.75,5392.97,215380.7
310,11,0.89,262.67,67553.75,69.75,5391.84,215387.35
320,11,0.89,262.63,67484.0,69.75,5390.7,215394.0
330,11,0.89,262.58,67414.25,69.75,5389.56,215400.66
340,11,0.89,262.54,67344.49,69.76,5388.43,215407.33
350,11,0.89,262.5,67274.73,69.76,5387.29,215413.99
360,11,0.89,262.45,67204.97,69.76,5386.16,215420.67
370,11,0.89,262.41,67135.21,69.76,5385.02,215427.34
380,11,0.89,262.37,67065.44,69.76,5383.89,215434.03
390,11,0.89,262.33,66995.68,69.77,5382.75,215440.71
400,11,0.89,262.28,66925.91,69.77,5381.62,215447.4
410,11,0.89,262.24,66856.13,69.77,5380.48,215454.1
420,11,0.89,262.2,66786.36,69.77,5379.35,215460.8
430,11,0.89,262.15,66716.59,69.78,5378.22,215467.5
440,11,0.89,262.11,66646.81,69.78,5377.09,215474.21
450,11,0.89,262.07,66577.03,69.78,5375.95,215480.93
460,11,0.89,262.03,66507.24,69.78,5374.82,215487.65
470,11,0.89,261.98,66437.46,69.78,5373.69,215494.37
480,11,0.89,261.94,66367.67,69.79,5372.56,215501.1
490,11,0.89,261.9,66297.89,69.79,5371.43,215507.83
500,11,0.89,261.85,66228.09,69.79,5370.29,215514.57
510,11,0.89,261.81,66158.3,69.79,5369.16,215521.31
520,11,0.89,261.77,66088.51,69.8,5368.03,215528.06
530,11,0.89,261.72,66018.71,69.8,5366.9,215534.81
540,11,0.89,261.68,65948.91,69.8,5365.77,215541.56
550,11,0.89,261.64,65879.11,69.8,5364.64,215548.32
560,11,0.89,261.59,65809.3,69.8,5363.52,215555.09
570,11,0.89,261.55,65739.5,69.81,5362.39,215561.86
580,11,0.89,261.51,65669.69,69.81,5361.26,215568.64
590,11,0.89,261.47,65599.88,69.81,5360.13,215575.41
600,11,0.89,261.42,65530.06,69.81,5359.0,215582.2
610,11,0.89,261.38,65460.25,69.82,5357.87,215588.99
620,11,0.89,261.34,65390.43,69.82,5356.75,215595.78
630,11,0.89,261.29,65320.61,69.82,5355.62,215602.58
640,11,0.89,261.25,65250.79,69.82,5354.49,215609.38
650,11,0.89,261.21,65180.97,69.82,5353.37,215616.19
660,11,0.89,261.16,65111.14,69.83,5352.24,215623.0
670,11,0.89,261.12,65041.31,69.83,5351.12,215629.82
680,11,0.88,261.08,64971.48,69.83,5349.99,215636.64
