Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
830,9.5,0.79,237.06,63780.8,71.61,5954.11,221136.41
840,9.5,0.79,237.02,63709.19,71.61,5953.12,221145.25
850,9.5,0.79,236.98,63637.57,71.62,5952.13,221154.1
860,9.5,0.79,236.94,63565.95,71.62,5951.15,221162.96
870,9.5,0.79,236.9,63494.33,71.62,5950.16,221171.82
880,9.5,0.79,236.86,63422.7,71.63,5949.17,221180.68
890,9.5,0.79,236.82,63351.07,71.63,5948.19,221189.56
900,9.5,0.79,236.78,63279.44,71.63,5947.2,221198.44
910,9.5,0.78,236.74,63207.81,71.63,5946.22,221207.32
920,9.5,0.78,236.7,63136.17,71.64,5945.23,221216.21
930,9.5,0.78,236.66,63064.53,71.64,5944.25,221225.11
940,9.5,0.78,236.62,62992.89,71.64,5943.27,221234.02
950,9.5,0.78,236.57,62921.24,71.65,5942.28,221242.93
960,9.5,0.78,236.53,62849.59,71.65,5941.3,221251.84
970,9.5,0.78,236.49,62777.94,71.65,5940.31,221260.77
980,9.5,0.78,236.45,62706.28,71.65,5939.33,221269.69
990,9.5,0.78,236.41,62634.63,71.66,5938.35,221278.63
1000,9.5,0.78,236.37,62562.97,71.66,5937.37,221287.57
1010,9.5,0.78,236.33,62491.3,71.66,5936.38,221296.52
1020,9.5,0.78,236.29,62419.64,71.67,5935.4,221305.47
1030,9.5,0.78,236.25,62347.97,71.67,5934.42,221314.43
1040,9.5,0.78,236.21,62276.29,71.67,5933.44,221323.4
1050,9.5,0.78,236.17,62204.62,71.67,5932.46,221332.37
1060,9.5,0.78,236.13,62132.94,71.68,5931.48,221341.35
1070,9.5,0.78,236.09,62061.26,71.68,5930.5,221350.34
1080,9.5,0.78,236.05,61989.58,71.68,5929.51,221359.33
1090,9.5,0.78,236.01,61917.89,71.69,5928.53,221368.33
1100,9.5,0.78,235.97,61846.2,71.69,5927.55,221377.33
1110,9.5,0.78,235.92,61774.51,71.69,5926.57,221386.34
1120,9.5,0.78,235.88,61702.81,71.7,5925.6,221395.36
1130,9.5,0.78,235.84,61631.12,71.7,5924.62,221404.38
1140,9.5,0.78,235.8,61559.41,71.7,5923.64,221413.41
1150,9.5,0.78,235.76,61487.71,71.7,5922.66,221422.45
1160,9.5,0.78,235.72,61416.0,71.71,5921.68,221431.49
1170,9.5,0.78,235.68,61344.29,71.71,5920.7,221440.54
1180,9.5,0.78,235.64,61272.58,71.71,5919.73,221449.59
1190,9.5,0.78,235.6,61200.86,71.72,5918.75,221458.66
1200,9.5,0.78,235.56,61129.14,71.72,5917.77,221467.72
1210,9.5,0.78,235.52,61057.42,71.72,5916.79,221476.8
1220,9.5,0.78,235.48,60985.7,71.72,5915.82,221485.88
1230,9.5,0.78,235.44,60913.97,71.73,5914.84,221494.97
1240,9.5,0.78,235.4,60842.24,71.73,5913.86,221504.06
1250,9.5,0.78,235.35,60770.51,71.73,5912.89,221513.16
1260,9.5,0.78,235.31,60698.77,71.74,5911.91,221522.27
1270,9.5,0.78,235.27,60627.03,71.74,5910.94,221531.38
1280,9.5,0.78,235.23,60555.29,71.74,5909.96,221540.5
1290,9.5,0.78,235.19,60483.54,71.75,5908.99,221549.62
1300,9.5,0.78,235.15,60411.79,71.75,5908.01,221558.75
1310,9.5,0.78,235.11,60340.04,71.75,5907.04,221567.89
1320,9.5,0.78,235.07,60268.29,71.75,5906.07,221577.04
1330,9.5,0.78,235.03,60196.53,71.76,5905.09,221586.19
1340,9.5,0.78,234.99,60124.77,71.76,5904.12,221595.35
1350,9.5,0.78,234.95,60053.01,71.76,5903.15,221604.51
1360,9.5,0.78,234.9,59981.24,71.77,5902.17,221613.68
1370,9.5,0.78,234.86,59909.47,71.77,5901.2,221622.86
1380,9.5,0.78,234.82,59837.7,71.77,5900.23,221632.04
1390,9.5,0.78,234.78,59765.93,71.78,5899.26,221641.23
1400,9.5,0.78,234.74,59694.15,71.78,5898.28,221650.43
1410,9.5,0.78,234.7,59622.37,71.78,5897.31,221659.63
1420,9.5,0.78,234.66,59550.58,71.78,5896.34,221668.84
1430,9.5,0.78,234.62,59478.8,71.79,5895.37,221678.06
1440,9.5,0.78,234.58,59407.01,71.79,5894.4,221687.28
1450,9.5,0.78,234.54,59335.21,71.79,5893.43,221696.51
1460,9.5,0.78,234.5,59263.42,71.8,5892.46,221705.75
1470,9.5,0.78,234.45,59191.62,71.8,5891.49,221714.99
1480,9.5,0.78,234.41,59119.82,71.8,5890.52,221724.24
1490,9.5,0.78,234.37,59048.01,71.8,5889.55,221733.5
1500,9.5,0.78,234.33,58976.2,71.81,5888.58,221742.76
1510,9.5,0.78,234.29,58904.39,71.81,5887.61,221752.03
1520,9.5,0.78,234.25,58832.58,71.81,5886.65,221761.3
1530,9.5,0.78,234.21,58760.76,71.82,5885.68,221770.59
1540,9.5,0.78,234.17,58688.94,71.82,5884.71,221779.88
1550,9.5,0.78,234.13,58617.12,71.82,5883.74,221789.17
1560,9.5,0.78,234.08,58545.29,71.83,5882.77,221798.47
1570,9.5,0.78,234.04,58473.47,71.83,5881.81,221807.78
1580,9.5,0.78,234.0,58401.63,71.83,5880.84,221817.1
1590,9.5,0.78,233.96,58329.8,71.83,5879.87,221826.42
1600,9.5,0.78,233.92,58257.96,71.84,5878.91,221835.75
1610,9.5,0.78,233.88,58186.12,71.84,5877.94,221845.08
1620,9.5,0.78,233.84,58114.28,71.84,5876.98,221854.42
1630,9.5,0.78,233.8,58042.43,71.85,5876.01,221863.77
1640,9.5,0.78,233.76,57970.58,71.85,5875.05,221873.13
1650,9.5,0.77,233.71,57898.72,71.85,5874.08,221882.49
1660,9.5,0.77,233.67,57826.87,71.86,5873.12,221891.86
1670,9.5,0.77,233.63,57755.01,71.86,5872.15,221901.23
1680,9.5,0.77,233.59,57683.15,71.86,5871.19,221910.62
1690,9.5,0.77,233.55,57611.28,71.87,5870.22,221920.01
1700,9.5,0.77,233.51,57539.41,71.87,5869.26,221929.4
1710,9.5,0.77,233.47,57467.54,71.87,5868.3,221938.8
1720,9.5,0.77,233.43,57395.67,71.87,5867.33,221948.21
1730,9.5,0.77,233.39,57323.79,71.88,5866.37,221957.63
1740,9.5,0.77,233.34,57251.91,71.88,5865.41,221967.05
1750,9.5,0.77,233.3,57180.03,71.88,5864.45,221976.48
1760,9.5,0.77,233.26,57108.14,71.89,5863.49,221985.92
1770,9.5,0.77,233.22,57036.25,71.89,5862.52,221995.36
1780,9.5,0.77,233.18,56964.36,71.89,5861.56,222004.81
1790,9.5,0.77,233.14,56892.46,71.9,5860.6,222014.27
1800,9.5,0.77,233.1,56820.56,71.9,5859.64,222023.73
1810,9.5,0.77,233.05,56748.66,71.9,5858.68,222033.2
1820,9.5,0.77,233.01,56676.76,71.91,5857.72,222042.68
1830,9.5,0.77,232.97,56604.85,71.91,5856.76,222052.16
1840,9.5,0.77,232.93,56532.94,71.91,5855.8,222061.65
1850,9.5,0.77,232.89,56461.02,71.91,5854.84,222071.15
1860,9.5,0.77,232.85,56389.1,71.92,5853.88,222080.65
1870,9.5,0.77,232.81,56317.18,71.92,5852.92,222090.16
1880,9.5,0.77,232.77,56245.26,71.92,5851.96,222099.68
1890,9.5,0.77,232.72,56173.33,71.93,5851.01,222109.21
1900,9.5,0.77,232.68,56101.4,71.93,5850.05,222118.74
1910,9.5,0.77,232.64,56029.47,71.93,5849.09,222128.28
1920,9.5,0.77,232.6,55957.54,71.94,5848.13,222137.82
1930,9.5,0.77,232.56,55885.6,71.94,5847.18,222147.37
1940,9.5,0.77,232.52,55813.66,71.94,5846.22,222156.93
1950,9.5,0.77,232.48,55741.71,71.95,5845.26,222166.5
1960,9.5,0.77,232.43,55669.76,71.95,5844.31,222176.07
1970,9.5,0.77,232.39,55597.81,71.95,5843.35,222185.65
1980,9.5,0.77,232.35,55525.86,71.95,5842.39,222195.24
1990,9.5,0.77,232.31,55453.9,71.96,5841.44,222204.83
2000,9.5,0.77,232.27,55381.94,71.96,5840.48,222214.43
2010,9.5,0.77,232.23,55309.97,71.96,5839.53,222224.04
2020,9.5,0.77,232.19,55238.01,71.97,5838.57,222233.66
2030,9.5,0.77,232.14,55166.04,71.97,5837.62,222243.28
2040,9.5,0.77,232.1,55094.06,71.97,5836.67,222252.91
2050,9.5,0.77,232.06,55022.09,71.98,5835.71,222262.54
2060,9.5,0.77,232.02,54950.11,71.98,5834.76,222272.18
2070,9.5,0.77,231.98,54878.13,71.98,5833.8,222281.83
2080,9.5,0.77,231.94,54806.14,71.99,5832.85,222291.49
2090,9.5,0.77,231.89,54734.15,71.99,5831.9,222301.15
2100,9.5,0.77,231.85,54662.16,71.99,5830.95,222310.82
2110,9.5,0.77,231.81,54590.17,71.99,5829.99,222320.5
2120,9.5,0.77,231.77,54518.17,72.0,5829.04,222330.19
2130,9.5,0.77,231.73,54446.17,72.0,5828.09,222339.88
2140,9.5,0.77,231.69,54374.16,72.0,5827.14,222349.58
2150,9.5,0.77,231.65,54302.15,72.01,5826.19,222359.28
2160,9.5,0.77,231.6,54230.14,72.01,5825.24,222369.0
2170,9.5,0.77,231.56,54158.13,72.01,5824.29,222378.72
2180,9.5,0.77,231.52,54086.11,72.02,5823.34,222388.44
2190,9.5,0.77,231.48,54014.09,72.02,5822.39,222398.18
2200,9.5,0.77,231.44,53942.07,72.02,5821.44,222407.92
2210,9.5,0.77,231.4,53870.04,72.03,5820.49,222417.67
2220,9.5,0.77,231.35,53798.01,72.03,5819.54,222427.42
2230,9.5,0.77,231.31,53725.98,72.03,5818.59,222437.19
2240,9.5,0.77,231.27,53653.94,72.04,5817.64,222446.96
2250,9.5,0.77,231.23,53581.9,72.04,5816.69,222456.73
2260,9.5,0.77,231.19,53509.86,72.04,5815.74,222466.52
2270,9.5,0.77,231.15,53437.82,72.05,5814.8,222476.31
2280,9.5,0.77,231.1,53365.77,72.05,5813.85,222486.11
2290,9.5,0.77,231.06,53293.72,72.05,5812.9,222495.91
2300,9.5,0.77,231.02,53221.66,72.05,5811.95,222505.73
2310,9.5,0.77,230.98,53149.6,72.06,5811.01,222515.55
2320,9.5,0.77,230.94,53077.54,72.06,5810.06,222525.37
2330,9.5,0.77,230.89,53005.48,72.06,5809.12,222535.21
2340,9.5,0.77,230.85,52933.41,72.07,5808.17,222545.05
2350,9.5,0.77,230.81,52861.34,72.07,5807.22,222554.9
2360,9.5,0.77,230.77,52789.27,72.07,5806.28,222564.75
2370,9.5,0.76,230.73,52717.19,72.08,5805.33,222574.62
2380,9.5,0.76,230.69,52645.11,72.08,5804.39,222584.49
2390,9.5,0.76,230.64,52573.02,72.08,5803.44,222594.37
2400,9.5,0.76,230.6,52500.94,72.09,5802.5,222604.25
2410,9.5,0.76,230.56,52428.85,72.09,5801.56,222614.14
2420,9.5,0.76,230.52,52356.75,72.09,5800.61,222624.04
2430,9.5,0.76,230.48,52284.66,72.1,5799.67,222633.95
2440,9.5,0.76,230.43,52212.56,72.1,5798.73,222643.86
2450,9.5,0.76,230.39,52140.45,72.1,5797.78,222653.79
2460,9.5,0.76,230.35,52068.35,72.11,5796.84,222663.71
2470,9.5,0.76,230.31,51996.24,72.11,5795.9,222673.65
2480,9.5,0.76,230.27,51924.13,72.11,5794.96,222683.59
2490,9.5,0.76,230.22,51852.01,72.12,5794.02,222693.54
2500,9.5,0.76,230.18,51779.89,72.12,5793.07,222703.5
2510,9.5,0.76,230.14,51707.77,72.12,5792.13,222713.47
2520,9.5,0.76,230.1,51635.64,72.13,5791.19,222723.44
2530,9.5,0.76,230.06,51563.52,72.13,5790.25,222733.42
2540,9.5,0.76,230.01,51491.38,72.13,5789.31,222743.41
2550,9.5,0.76,229.97,51419.25,72.14,5788.37,222753.4
2560,9.5,0.76,229.93,51347.11,72.14,5787.43,222763.41
2570,9.5,0.76,229.89,51274.97,72.14,5786.49,222773.42
2580,9.5,0.76,229.85,51202.82,72.14,5785.55,222783.43
2590,9.5,0.76,229.8,51130.68,72.15,5784.61,222793.46
2600,9.5,0.76,229.76,51058.52,72.15,5783.68,222803.49
2610,9.5,0.76,229.72,50986.37,72.15,5782.74,222813.53
2620,9.5,0.76,229.68,50914.21,72.16,5781.8,222823.58
2630,9.5,0.76,229.64,50842.05,72.16,5780.86,222833.63
2640,9.5,0.76,229.59,50769.89,72.16,5779.92,222843.69
2650,9.5,0.76,229.55,50697.72,72.17,5778.99,222853.76
2660,9.5,0.76,229.51,50625.55,72.17,5778.05,222863.84
2670,9.5,0.76,229.47,50553.37,72.17,5777.11,222873.92
2680,9.5,0.76,229.43,50481.2,72.18,5776.18,222884.01
2690,9.5,0.76,229.38,50409.01,72.18,5775.24,222894.11
2700,9.5,0.76,229.34,50336.83,72.18,5774.3,222904.22
2710,9.5,0.76,229.3,50264.64,72.19,5773.37,222914.33
2720,9.5,0.76,229.26,50192.45,72.19,5772.43,222924.45
2730,9.5,0.76,229.22,50120.26,72.19,5771.5,222934.58
2740,9.5,0.76,229.17,50048.06,72.2,5770.56,222944.72
2750,9.5,0.76,229.13,49975.86,72.2,5769.63,222954.87
2760,9.5,0.76,229.09,49903.66,72.2,5768.7,222965.02
2770,9.5,0.76,229.05,49831.45,72.21,5767.76,222975.18
2780,9.5,0.76,229.0,49759.24,72.21,5766.83,222985.34
2790,9.5,0.76,228.96,49687.03,72.21,5765.9,222995.52
2800,9.5,0.76,228.92,49614.81,72.22,5764.96,223005.7
2810,9.5,0.76,228.88,49542.59,72.22,5764.03,223015.89
2820,9.5,0.76,228.84,49470.37,72.22,5763.1,223026.09
2830,9.5,0.76,228.79,49398.14,72.23,5762.17,223036.29
2840,9.5,0.76,228.75,49325.91,72.23,5761.23,223046.5
2850,9.5,0.76,228.71,49253.68,72.23,5760.3,223056.73
2860,9.5,0.76,228.67,49181.44,72.24,5759.37,223066.95
2870,9.5,0.76,228.62,49109.2,72.24,5758.44,223077.19
2880,9.5,0.76,228.58,49036.96,72.24,5757.51,223087.43
2890,9.5,0.76,228.54,48964.71,72.25,5756.58,223097.68
2900,9.5,0.76,228.5,48892.46,72.25,5755.65,223107.94
2910,9.5,0.76,228.45,48820.21,72.25,5754.72,223118.21
2920,9.5,0.76,228.41,48747.95,72.26,5753.79,223128.48
2930,9.5,0.76,228.37,48675.69,72.26,5752.86,223138.76
2940,9.5,0.76,228.33,48603.43,72.26,5751.93,223149.05
2950,9.5,0.76,228.29,48531.16,72.27,5751.0,223159.35
2960,9.5,0.76,228.24,48458.89,72.27,5750.07,223169.65
2970,9.5,0.76,228.2,48386.62,72.27,5749.14,223179.97
2980,9.5,0.76,228.16,48314.34,72.28,5748.22,223190.29
2990,9.5,0.76,228.12,48242.06,72.28,5747.29,223200.61
3000,9.5,0.76,228.07,48169.78,72.28,5746.36,223210.95
3010,9.5,0.76,228.03,48097.49,72.29,5745.43,223221.29
3020,9.5,0.76,227.99,48025.2,72.29,5744.51,223231.65
3030,9.5,0.76,227.95,47952.91,72.29,5743.58,223242.0
3040,9.5,0.76,227.9,47880.61,72.3,5742.65,223252.37
3050,9.5,0.76,227.86,47808.31,72.3,5741.73,223262.75
3060,9.5,0.76,227.82,47736.01,72.3,5740.8,223273.13
3070,9.5,0.76,227.78,47663.7,72.31,5739.88,223283.52
3080,9.5,0.76,227.73,47591.39,72.31,5738.95,223293.92
3090,9.5,0.75,227.69,47519.08,72.31,5738.03,223304.32
3100,9.5,0.75,227.65,47446.76,72.32,5737.1,223314.74
3110,9.5,0.75,227.61,47374.44,72.32,5736.18,223325.16
3120,9.5,0.75,227.56,47302.11,72.32,5735.26,223335.59
3130,9.5,0.75,227.52,47229.79,72.33,5734.33,223346.03
3140,9.5,0.75,227.48,47157.46,72.33,5733.41,223356.47
3150,9.5,0.75,227.44,47085.12,72.33,5732.49,223366.92
