Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,7.5,0.69,213.42,69715.0,3285.0,,,,,,
10,7.5,0.69,213.44,69640.87,74.13,7274.69,228909.8,0.72,0.5,0.32,29538.16
20,7.5,0.69,213.43,69566.74,74.13,7272.0,228909.8,0.72,0.5,0.32,29538.16
30,7.51,0.69,213.43,69492.61,74.13,7269.31,228909.8,0.72,0.5,0.32,29538.16
40,7.51,0.69,213.42,69418.48,74.13,7266.63,228909.8,0.72,0.5,0.32,29538.16
50,7.51,0.69,213.41,69344.36,74.13,7263.94,228909.8,0.72,0.5,0.32,29538.16
60,7.51,0.69,213.41,69270.23,74.13,7261.26,228909.8,0.72,0.5,0.32,29538.16
70,7.52,0.69,213.4,69196.1,74.13,7258.57,228909.8,0.72,0.5,0.32,29538.16
80,7.52,0.69,213.39,69121.97,74.13,7255.89,228909.8,0.72,0.5,0.32,29538.16
90,7.52,0.69,213.38,69047.84,74.13,7253.2,228909.8,0.72,0.5,0.32,29538.16
100,7.52,0.69,213.38,68973.71,74.13,7250.52,228909.8,0.72,0.5,0.32,29538.16
110,7.53,0.69,213.37,68899.58,74.13,7247.83,228909.8,0.72,0.5,0.32,29538.16
120,7.53,0.69,213.36,68825.45,74.13,7245.15,228909.8,0.72,0.5,0.32,29538.16
130,7.53,0.69,213.36,68751.33,74.13,7242.47,228909.8,0.72,0.5,0.32,29538.16
140,7.53,0.69,213.35,68677.2,74.13,7239.78,228909.8,0.72,0.5,0.32,29538.16
150,7.54,0.69,213.34,68603.07,74.13,7237.1,228909.8,0.72,0.5,0.32,29538.16
160,7.54,0.69,213.34,68528.94,74.13,7234.42,228909.8,0.72,0.5,0.32,29538.16
170,7.54,0.69,213.33,68454.81,74.13,7231.73,228909.8,0.72,0.5,0.32,29538.16
180,7.54,0.69,213.32,68380.68,74.13,7229.05,228909.8,0.72,0.5,0.32,29538.16
190,7.54,0.69,213.31,68306.55,74.13,7226.37,228909.8,0.72,0.5,0.32,29538.16
200,7.55,0.69,213.31,68232.42,74.13,7223.69,228909.8,0.72,0.5,0.32,29538.16
210,7.55,0.69,213.3,68158.29,74.13,7221.0,228909.8,0.72,0.5,0.32,29538.16
220,7.55,0.69,213.29,68084.17,74.13,7218.32,228909.8,0.72,0.5,0.32,29538.16
230,7.55,0.69,213.29,68010.04,74.13,7215.64,228909.8,0.72,0.5,0.32,29538.16
240,7.56,0.69,213.28,67935.91,74.13,7212.96,228909.8,0.72,0.5,0.32,29538.16
250,7.56,0.69,213.27,67861.78,74.13,7210.28,228909.8,0.72,0.5,0.32,29538.16
260,7.56,0.69,213.26,67787.65,74.13,7207.6,228909.8,0.72,0.5,0.32,29538.16
270,7.56,0.69,213.26,67713.52,74.13,7204.92,228909.8,0.72,0.5,0.32,29538.16
280,7.57,0.69,213.25,67639.39,74.13,7202.24,228909.8,0.72,0.5,0.32,29538.16
290,7.57,0.69,213.24,67565.26,74.13,7199.56,228909.8,0.72,0.5,0.32,29538.16
300,7.57,0.69,213.24,67491.14,74.13,7196.88,228909.8,0.72,0.5,0.32,29538.16
310,7.57,0.69,213.23,67417.01,74.13,7194.2,228909.8,0.72,0.5,0.32,29538.16
320,7.58,0.69,213.22,67342.88,74.13,7191.52,228909.8,0.72,0.5,0.32,29538.16
330,7.58,0.69,213.22,67268.75,74.13,7188.84,228909.8,0.72,0.5,0.32,29538.16
