Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,10.0,0.83,247.86,69715.0,3285.0,,,,,,
10,10.001203213966274,0.8277552310933034,247.87785919176454,69635.23520239478,79.7647976052217,6539.405300507555,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
20,10.003618724335992,0.8277552310933034,247.86913839885133,69555.47040478955,79.7647976052217,6536.889398876567,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
30,10.006034958327719,0.8277552310933034,247.86041468644999,69475.70560718433,79.7647976052217,6534.373711925393,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
40,10.008451916426115,0.8277552310933034,247.8516880525024,69395.9408095791,79.7647976052217,6531.858239646977,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
50,10.010869599116369,0.8277552310933034,247.842958494948,69316.17601197388,79.7647976052217,6529.342982034245,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
60,10.013288006884155,0.8277552310933034,247.8342260117242,69236.41121436865,79.7647976052217,6526.827939080113,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
70,10.015707140215646,0.8277552310933034,247.82549060076607,69156.64641676343,79.7647976052217,6524.3131107774825,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
80,10.018126999597541,0.8277552310933034,247.81675226000644,69076.8816191582,79.7647976052217,6521.798497119258,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
90,10.020547585517049,0.8277552310933034,247.80801098737606,68997.11682155298,79.7647976052217,6519.284098098287,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
100,10.022968898461853,0.8277552310933034,247.79926678080324,68917.35202394775,79.7647976052217,6516.769913707454,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
110,10.02539093892018,0.8277552310933034,247.79051963821428,68837.58722634253,79.7647976052217,6514.255943939608,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
120,10.027813707380748,0.8277552310933034,247.78176955753312,68757.8224287373,79.7647976052217,6511.742188787571,246313.6950049246,0.7518734621851689,0.43966015799296165,0.2975119246575418,27450.720336987844
