Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,10.5,0.86,255.72,69715.0,3285.0,,,,,,
10,10.5,0.86,255.74,69644.78,70.22,5600.09,216832.34,0.76,0.5,0.34,31183.71
20,10.5,0.86,255.73,69574.56,70.22,5598.2,216832.34,0.76,0.5,0.34,31183.71
30,10.51,0.86,255.72,69504.35,70.22,5596.31,216832.34,0.76,0.5,0.34,31183.71
40,10.51,0.86,255.72,69434.13,70.22,5594.42,216832.34,0.76,0.5,0.34,31183.71
50,10.51,0.86,255.71,69363.91,70.22,5592.54,216832.34,0.76,0.5,0.34,31183.71
60,10.51,0.86,255.7,69293.69,70.22,5590.65,216832.34,0.76,0.5,0.34,31183.71
70,10.51,0.86,255.69,69223.48,70.22,5588.77,216832.34,0.76,0.5,0.34,31183.71
80,10.52,0.86,255.68,69153.26,70.22,5586.88,216832.34,0.76,0.5,0.34,31183.71
90,10.52,0.86,255.68,69083.04,70.22,5584.99,216832.34,0.76,0.5,0.34,31183.71
100,10.52,0.86,255.67,69012.82,70.22,5583.11,216832.34,0.76,0.5,0.34,31183.71
110,10.52,0.86,255.66,68942.61,70.22,5581.22,216832.34,0.76,0.5,0.34,31183.71
120,10.52,0.86,255.65,68872.39,70.22,5579.34,216832.34,0.76,0.5,0.34,31183.71
130,10.53,0.86,255.64,68802.17,70.22,5577.45,216832.34,0.76,0.5,0.34,31183.71
140,10.53,0.86,255.64,68731.95,70.22,5575.56,216832.34,0.76,0.5,0.34,31183.71
150,10.53,0.86,255.63,68661.73,70.22,5573.68,216832.34,0.76,0.5,0.34,31183.71
160,10.53,0.86,255.62,68591.52,70.22,5571.79,216832.34,0.76,0.5,0.34,31183.71
170,10.53,0.86,255.61,68521.3,70.22,5569.91,216832.34,0.76,0.5,0.34,31183.71
180,10.54,0.86,255.6,68451.08,70.22,5568.02,216832.34,0.76,0.5,0.34,31183.71
190,10.54,0.86,255.6,68380.86,70.22,5566.14,216832.34,0.76,0.5,0.34,31183.71
200,10.54,0.86,255.59,68310.65,70.22,5564.25,216832.34,0.76,0.5,0.34,31183.71
