Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,11.0,0.89,263.95,69715.0,3285.0,,,,,,
10,11.0,0.89,263.98,69645.31,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
20,11.0,0.89,263.98,69575.63,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
30,11.01,0.89,263.98,69505.94,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
40,11.01,0.89,263.98,69436.26,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
50,11.01,0.89,263.98,69366.57,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
60,11.01,0.89,263.98,69296.89,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
70,11.01,0.89,263.98,69227.2,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
80,11.02,0.89,263.98,69157.51,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
90,11.02,0.89,263.98,69087.83,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
100,11.02,0.89,263.98,69018.14,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
110,11.02,0.89,263.98,68948.46,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
120,11.02,0.89,263.98,68878.77,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
130,11.03,0.89,263.98,68809.08,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
140,11.03,0.89,263.98,68739.4,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
150,11.03,0.89,263.98,68669.71,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
160,11.03,0.89,263.98,68600.03,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
170,11.03,0.89,263.98,68530.34,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
180,11.04,0.89,263.98,68460.66,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
190,11.04,0.89,263.98,68390.97,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
200,11.04,0.89,263.98,68321.28,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
210,11.04,0.89,263.98,68251.6,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
220,11.04,0.89,263.98,68181.91,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
230,11.05,0.89,263.98,68112.23,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
240,11.05,0.89,263.98,68042.54,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
250,11.05,0.89,263.98,67972.85,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
260,11.05,0.89,263.98,67903.17,69.69,5426.07,215189.83,0.76,0.5,0.34,31421.76
